-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  48.7817   Longitude 11.4515 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 449.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,96.54,96.51,95.75,96.33,95.93,96.43,96.41,96.59,96.42,95.97,96.91,94.9,96.22
PS,1982,96.49,96.72,96.34,96.39,96.63,96.25,96.51,96.36,96.66,96.05,96.43,96.1,96.41
PS,1983,97.05,96.39,96.32,95.66,95.78,96.63,96.55,96.48,96.48,96.88,96.5,96.42,96.43
PS,1984,95.85,96.49,96.14,96.43,95.51,96.33,96.58,96.51,95.89,96.56,95.9,96.89,96.26
PS,1985,95.76,96.68,96.0,95.91,95.81,96.21,96.53,96.43,96.83,97.12,96.03,96.38,96.31
PS,1986,95.56,95.87,96.18,95.64,96.49,96.4,96.53,96.29,96.78,96.65,96.91,96.44,96.31
PS,1987,96.33,96.01,96.29,96.43,96.13,96.24,96.36,96.35,96.56,96.37,96.28,96.75,96.34
PS,1988,95.91,95.94,95.73,96.2,96.08,96.21,96.4,96.34,96.63,96.54,96.83,96.8,96.3
PS,1989,97.73,96.57,96.27,95.54,96.69,96.42,96.62,96.3,96.61,96.71,96.45,96.23,96.51
PS,1990,96.95,96.21,97.25,96.07,96.65,96.21,96.65,96.69,96.45,96.19,96.05,96.36,96.48
PS,1991,97.06,96.36,96.13,96.25,96.45,96.19,96.46,96.69,96.45,96.41,96.18,97.31,96.5
PS,1992,97.51,97.04,96.19,95.99,96.62,96.1,96.49,96.35,96.66,95.65,96.35,96.64,96.47
PS,1993,97.11,97.28,96.75,95.92,96.15,96.38,96.43,96.62,96.04,96.22,96.66,95.7,96.44
PS,1994,96.09,96.16,96.49,95.82,96.1,96.59,96.55,96.35,96.25,96.48,96.73,96.76,96.36
PS,1995,96.24,96.15,96.06,96.2,96.29,96.36,96.43,96.43,96.07,97.03,96.49,96.29,96.34
PS,1996,96.29,95.93,96.27,96.36,96.03,96.71,96.54,96.41,96.26,96.52,95.87,96.1,96.28
PS,1997,96.87,96.8,96.99,96.53,96.31,95.96,96.49,96.55,96.91,96.48,95.82,96.04,96.48
PS,1998,96.47,97.18,96.8,95.35,96.3,96.42,96.2,96.54,96.03,96.12,96.44,96.74,96.38
PS,1999,96.27,96.08,95.95,96.11,96.35,96.56,96.43,96.26,96.19,96.53,96.73,95.93,96.28
PS,2000,96.97,96.74,96.46,95.63,96.34,96.72,96.09,96.59,96.28,96.28,95.7,95.99,96.32
PS,2001,96.15,96.41,95.4,95.98,96.36,96.41,96.34,96.51,96.07,96.66,96.75,96.78,96.32
PS,2002,97.15,96.11,96.46,96.19,96.14,96.4,96.27,96.24,96.54,96.13,95.71,96.32,96.31
PS,2003,96.17,96.71,96.98,96.3,96.52,96.41,96.45,96.5,96.79,96.04,96.43,96.51,96.48
PS,2004,95.73,96.51,96.68,96.0,96.14,96.5,96.45,96.19,96.73,96.1,96.62,96.55,96.35
PS,2005,96.73,96.26,96.27,96.11,96.4,96.58,96.31,96.43,96.59,96.74,96.44,96.31,96.43
PS,2006,96.99,96.04,95.76,96.11,96.35,96.75,96.72,95.99,96.38,96.32,96.57,97.16,96.43
PS,2007,96.5,95.88,96.18,96.65,95.88,96.07,96.22,96.26,96.58,96.96,96.44,96.9,96.38
PS,2008,96.62,97.22,95.38,95.75,96.24,96.33,96.34,96.27,96.53,96.48,96.11,96.4,96.3
PS,2009,96.15,95.92,96.02,96.06,96.6,96.29,96.34,96.56,96.71,96.43,95.8,95.49,96.2
PS,2010,95.95,95.2,96.32,96.51,95.99,96.21,96.47,96.22,96.33,96.21,95.37,95.75,96.05
PS,2011,96.51,96.46,96.77,96.5,96.6,96.4,96.06,96.33,96.56,96.77,96.86,96.15,96.5
PS,2012,96.62,97.1,97.2,95.38,96.28,96.2,96.36,96.51,96.39,96.09,96.08,95.98,96.35
PS,2013,96.02,96.0,95.47,96.18,95.8,96.47,96.7,96.56,96.33,96.47,96.21,96.84,96.26
PS,2014,95.71,95.7,96.33,96.1,96.27,96.42,96.14,96.2,96.52,96.49,95.99,96.51,96.2
PS,2015,96.25,96.27,96.58,96.65,96.34,96.61,96.38,96.37,96.53,96.53,96.6,97.42,96.55
PS,2016,96.06,95.82,96.06,95.97,96.06,96.2,96.54,96.73,96.61,96.75,96.29,97.55,96.39
PS,2017,96.82,96.4,96.4,96.56,96.4,96.28,96.32,96.55,96.35,96.74,96.26,96.19,96.44
PS,2018,96.11,96.23,95.16,96.07,96.24,96.4,96.35,96.49,96.83,96.48,96.47,96.62,96.29
PS,2019,96.02,96.97,96.47,96.09,96.12,96.43,96.28,96.5,96.64,96.31,95.33,96.13,96.27
PS,2020,97.07,96.27,96.38,96.41,96.62,96.07,96.45,96.23,96.43,96.09,97.11,95.57,96.39
PS,2021,95.72,96.54,96.74,96.42,96.05,96.47,96.28,96.37,96.67,96.68,96.25,96.16,96.36
PS,2022,96.99,96.49,96.95,96.03,96.52,96.38,96.71,96.41,96.1,96.78,96.21,96.14,96.48
WSC,1981,3.34,2.92,3.27,2.72,2.27,2.47,2.6,2.27,2.42,3.09,3.4,3.44,2.85
WSC,1982,2.92,2.48,3.27,3.03,2.45,2.45,2.18,2.19,1.76,2.53,2.69,3.17,2.6
WSC,1983,4.22,3.21,3.01,2.86,2.52,2.3,2.08,2.29,2.89,3.03,2.64,2.91,2.83
WSC,1984,3.89,3.36,2.61,2.49,2.48,2.66,2.68,2.16,2.92,2.58,2.66,2.18,2.72
WSC,1985,2.73,2.86,2.61,3.26,2.64,2.93,2.3,2.28,2.53,2.27,2.96,3.19,2.71
WSC,1986,4.18,2.89,2.91,2.54,2.23,2.61,2.27,2.24,2.38,2.68,2.5,3.62,2.75
WSC,1987,3.02,2.65,3.15,2.48,2.53,2.51,2.39,2.54,2.51,2.79,2.76,2.82,2.68
WSC,1988,3.23,3.82,3.7,2.55,2.7,1.87,2.31,2.23,2.64,2.6,2.7,3.27,2.8
WSC,1989,2.13,2.86,3.04,2.49,2.63,1.96,2.41,2.27,2.25,2.7,2.55,2.96,2.52
WSC,1990,2.67,3.84,3.3,2.77,2.13,2.12,2.46,2.27,2.77,2.61,2.9,2.9,2.72
WSC,1991,3.37,2.62,2.66,2.42,2.46,2.71,2.47,2.24,2.39,2.65,2.91,3.01,2.66
WSC,1992,2.79,2.78,3.4,2.94,3.01,2.1,2.09,2.43,2.45,2.96,3.27,2.62,2.74
WSC,1993,4.24,2.42,2.89,2.72,2.34,2.51,2.86,2.15,2.56,2.71,2.31,4.21,2.83
WSC,1994,3.64,2.9,4.1,2.6,2.54,2.63,1.76,2.31,2.64,2.6,2.42,3.38,2.79
WSC,1995,3.8,3.73,3.85,3.27,2.46,2.26,2.03,2.54,2.83,1.92,2.81,2.7,2.84
WSC,1996,2.43,2.85,2.59,2.01,2.53,2.31,2.66,2.18,2.83,2.73,3.15,2.54,2.57
WSC,1997,1.73,3.8,2.96,3.02,2.67,2.46,2.24,1.85,2.24,2.96,2.38,3.03,2.6
WSC,1998,3.22,2.7,3.61,2.66,2.37,2.36,2.72,2.28,2.83,3.45,2.67,3.06,2.83
WSC,1999,3.16,3.61,2.78,2.57,2.53,2.19,2.57,2.17,2.36,2.89,2.59,3.76,2.76
WSC,2000,3.07,3.47,3.52,2.33,2.15,2.11,2.63,1.9,2.38,2.29,2.65,2.83,2.61
WSC,2001,2.78,3.13,3.11,2.71,2.8,2.44,2.32,2.17,2.99,2.43,2.69,3.43,2.75
WSC,2002,3.01,4.58,2.92,2.97,2.27,2.37,2.39,1.87,2.24,3.26,2.73,2.91,2.78
WSC,2003,3.15,2.82,2.59,2.89,2.69,2.0,2.31,1.92,2.25,3.15,2.52,3.17,2.62
WSC,2004,3.4,3.48,2.76,2.55,2.32,2.27,2.43,2.62,2.95,2.57,3.03,2.46,2.74
WSC,2005,3.63,2.89,2.74,2.41,2.38,2.24,2.38,2.52,2.29,2.73,2.26,2.94,2.62
WSC,2006,2.57,2.8,3.14,2.48,3.23,2.01,1.82,2.79,2.43,2.81,3.1,2.7,2.66
WSC,2007,4.48,3.09,3.18,2.58,3.11,2.46,2.97,1.9,2.67,2.23,3.1,2.98,2.9
WSC,2008,3.33,3.0,3.76,2.55,2.59,2.07,2.43,2.33,2.42,2.36,2.65,3.03,2.71
WSC,2009,2.39,3.1,3.15,2.57,2.41,2.59,2.41,2.17,2.27,2.72,2.96,2.87,2.63
WSC,2010,2.48,2.94,3.45,2.46,2.51,2.22,2.05,2.64,2.24,2.57,2.92,2.81,2.61
WSC,2011,2.96,2.61,2.75,2.77,2.34,2.42,2.29,2.15,2.19,2.68,2.1,3.8,2.59
WSC,2012,3.86,3.15,2.43,2.65,2.52,2.31,2.56,2.25,2.22,2.44,2.35,3.36,2.68
WSC,2013,2.84,2.66,2.68,2.56,2.55,2.32,2.16,1.88,2.72,2.67,2.8,2.88,2.56
WSC,2014,2.54,2.73,2.76,2.46,2.73,2.13,2.21,2.2,2.05,2.28,2.23,3.25,2.46
WSC,2015,3.47,2.45,3.16,2.7,2.38,2.32,2.61,2.01,2.61,2.05,3.3,2.63,2.64
WSC,2016,3.1,3.66,2.67,2.37,2.69,1.9,2.05,2.17,2.12,2.21,2.74,2.57,2.52
WSC,2017,2.93,3.0,3.24,2.63,2.23,2.42,2.46,2.13,2.07,2.99,2.85,3.36,2.69
WSC,2018,3.55,2.77,2.93,2.69,2.47,2.05,1.74,2.06,2.11,2.6,2.49,3.52,2.58
WSC,2019,3.66,2.68,3.81,2.96,2.42,2.24,2.03,1.89,2.48,2.79,2.46,3.04,2.71
WSC,2020,2.74,4.54,3.52,2.53,2.21,2.38,2.22,2.28,2.01,2.79,2.2,2.54,2.65
WSC,2021,2.98,2.74,2.71,2.54,3.04,1.83,2.03,2.19,1.96,2.45,2.23,2.72,2.45
WSC,2022,3.19,4.45,2.68,2.93,2.35,1.99,2.24,2.17,2.39,2.41,2.39,2.79,2.65
WS50M,1981,7.12,6.22,6.96,5.79,4.84,5.27,5.53,4.83,5.16,6.59,7.23,7.32,6.07
WS50M,1982,6.22,5.29,6.97,6.45,5.23,5.23,4.64,4.66,3.75,5.38,5.73,6.75,5.53
WS50M,1983,8.98,6.84,6.41,6.09,5.37,4.91,4.43,4.88,6.16,6.46,5.63,6.2,6.02
WS50M,1984,8.28,7.15,5.55,5.3,5.28,5.67,5.71,4.61,6.23,5.5,5.66,4.64,5.8
WS50M,1985,5.81,6.1,5.57,6.95,5.62,6.25,4.9,4.86,5.38,4.84,6.31,6.8,5.77
WS50M,1986,8.9,6.16,6.2,5.41,4.74,5.56,4.84,4.77,5.06,5.71,5.33,7.7,5.87
WS50M,1987,6.43,5.66,6.71,5.29,5.39,5.34,5.09,5.41,5.35,5.94,5.88,6.0,5.71
WS50M,1988,6.89,8.14,7.89,5.44,5.75,3.99,4.91,4.76,5.62,5.53,5.75,6.97,5.97
WS50M,1989,4.55,6.09,6.48,5.3,5.61,4.17,5.12,4.83,4.8,5.74,5.44,6.3,5.37
WS50M,1990,5.68,8.18,7.04,5.91,4.53,4.52,5.25,4.83,5.9,5.55,6.18,6.19,5.8
WS50M,1991,7.18,5.59,5.66,5.16,5.24,5.78,5.27,4.78,5.09,5.64,6.2,6.41,5.66
WS50M,1992,5.95,5.91,7.25,6.27,6.42,4.48,4.46,5.18,5.23,6.31,6.96,5.58,5.84
WS50M,1993,9.04,5.16,6.16,5.8,4.99,5.35,6.09,4.57,5.45,5.78,4.92,8.98,6.04
WS50M,1994,7.76,6.19,8.74,5.54,5.42,5.61,3.75,4.91,5.62,5.54,5.16,7.2,5.95
WS50M,1995,8.09,7.95,8.21,6.96,5.23,4.82,4.33,5.41,6.03,4.09,5.98,5.74,6.05
WS50M,1996,5.18,6.07,5.52,4.28,5.38,4.93,5.67,4.65,6.03,5.82,6.71,5.41,5.47
WS50M,1997,3.68,8.09,6.3,6.43,5.7,5.25,4.78,3.94,4.78,6.3,5.08,6.46,5.55
WS50M,1998,6.87,5.74,7.7,5.66,5.05,5.02,5.8,4.85,6.04,7.34,5.69,6.52,6.03
WS50M,1999,6.74,7.7,5.91,5.48,5.38,4.67,5.47,4.62,5.02,6.15,5.52,8.01,5.88
WS50M,2000,6.53,7.38,7.51,4.97,4.59,4.49,5.6,4.05,5.07,4.88,5.66,6.04,5.55
WS50M,2001,5.93,6.67,6.63,5.77,5.97,5.2,4.95,4.62,6.38,5.19,5.73,7.3,5.86
WS50M,2002,6.42,9.77,6.22,6.32,4.84,5.04,5.09,3.99,4.77,6.94,5.82,6.2,5.93
WS50M,2003,6.7,6.01,5.52,6.16,5.73,4.26,4.93,4.09,4.79,6.71,5.38,6.75,5.59
WS50M,2004,7.24,7.41,5.89,5.43,4.94,4.84,5.19,5.59,6.29,5.48,6.45,5.24,5.83
WS50M,2005,7.73,6.16,5.83,5.14,5.08,4.77,5.08,5.38,4.88,5.82,4.82,6.26,5.58
WS50M,2006,5.47,5.97,6.7,5.27,6.88,4.29,3.88,5.94,5.19,5.98,6.61,5.74,5.66
WS50M,2007,9.55,6.59,6.78,5.49,6.63,5.25,6.34,4.05,5.7,4.76,6.61,6.36,6.18
WS50M,2008,7.09,6.38,8.02,5.44,5.51,4.41,5.18,4.96,5.16,5.02,5.65,6.45,5.77
WS50M,2009,5.09,6.6,6.72,5.47,5.14,5.52,5.14,4.62,4.84,5.8,6.3,6.12,5.61
WS50M,2010,5.28,6.26,7.35,5.23,5.34,4.73,4.37,5.63,4.77,5.47,6.23,5.99,5.55
WS50M,2011,6.3,5.56,5.86,5.9,4.98,5.15,4.88,4.58,4.66,5.7,4.47,8.09,5.52
WS50M,2012,8.23,6.71,5.18,5.66,5.37,4.92,5.46,4.8,4.73,5.2,5.01,7.16,5.7
WS50M,2013,6.05,5.67,5.7,5.45,5.43,4.94,4.61,4.01,5.8,5.68,5.96,6.14,5.45
WS50M,2014,5.41,5.81,5.88,5.23,5.81,4.55,4.72,4.7,4.36,4.86,4.74,6.91,5.25
WS50M,2015,7.4,5.22,6.73,5.76,5.07,4.94,5.55,4.27,5.56,4.38,7.04,5.59,5.62
WS50M,2016,6.61,7.8,5.69,5.05,5.73,4.05,4.38,4.62,4.52,4.7,5.84,5.47,5.37
WS50M,2017,6.25,6.39,6.91,5.61,4.76,5.16,5.24,4.54,4.41,6.37,6.06,7.16,5.73
WS50M,2018,7.56,5.9,6.24,5.73,5.26,4.37,3.7,4.4,4.49,5.55,5.3,7.49,5.5
WS50M,2019,7.8,5.7,8.12,6.31,5.16,4.78,4.32,4.02,5.29,5.95,5.23,6.47,5.77
WS50M,2020,5.83,9.66,7.49,5.38,4.72,5.06,4.73,4.87,4.27,5.95,4.68,5.41,5.66
WS50M,2021,6.36,5.84,5.78,5.42,6.48,3.9,4.33,4.66,4.17,5.21,4.74,5.79,5.23
WS50M,2022,6.8,9.48,5.71,6.24,5.0,4.23,4.77,4.63,5.1,5.14,5.09,5.94,5.65
ALLSKY_SFC_SW_DWN,1981,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN,1982,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN,1983,,,,,,,,,,,,,
