-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 
Location: Latitude  48.7672   Longitude 11.5064 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 449.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,WS50M
2022,1,1,0,0.0,0.01,97.15,9.45
2022,1,1,1,0.0,0.01,97.21,8.94
2022,1,1,2,0.0,0.01,97.26,8.26
2022,1,1,3,0.0,0.01,97.29,7.93
2022,1,1,4,0.0,0.01,97.29,7.32
2022,1,1,5,0.0,0.01,97.3,7.04
2022,1,1,6,0.0,0.01,97.31,6.5
2022,1,1,7,0.0,0.01,97.32,6.1
2022,1,1,8,19.34,0.01,97.35,5.66
2022,1,1,9,102.66,0.01,97.38,5.04
2022,1,1,10,225.43,0.01,97.41,4.18
2022,1,1,11,249.2,0.01,97.41,3.6
2022,1,1,12,254.35,0.01,97.38,3.73
2022,1,1,13,238.34,0.0,97.34,3.41
2022,1,1,14,178.02,0.0,97.3,2.6
2022,1,1,15,75.5,0.0,97.28,1.88
2022,1,1,16,7.82,0.0,97.25,1.93
2022,1,1,17,0.0,0.0,97.23,3.05
2022,1,1,18,0.0,0.0,97.22,4.39
2022,1,1,19,0.0,0.0,97.2,5.42
2022,1,1,20,0.0,0.0,97.18,5.87
2022,1,1,21,0.0,0.0,97.17,5.71
2022,1,1,22,0.0,0.0,97.14,5.23
2022,1,1,23,0.0,0.0,97.1,4.7
2022,1,2,0,0.0,0.0,97.04,4.26
2022,1,2,1,0.0,0.0,96.98,4.0
2022,1,2,2,0.0,0.0,96.93,4.08
2022,1,2,3,0.0,0.0,96.88,4.41
2022,1,2,4,0.0,0.0,96.82,4.69
2022,1,2,5,0.0,0.0,96.76,4.9
2022,1,2,6,0.0,0.0,96.71,5.29
2022,1,2,7,0.0,0.0,96.66,5.93
2022,1,2,8,17.18,0.0,96.64,6.35
2022,1,2,9,78.88,0.0,96.61,6.08
2022,1,2,10,172.89,0.0,96.58,5.58
2022,1,2,11,221.86,0.0,96.55,5.18
2022,1,2,12,199.7,0.0,96.49,5.02
2022,1,2,13,135.4,0.0,96.41,5.43
2022,1,2,14,94.55,0.0,96.36,6.75
2022,1,2,15,45.84,0.0,96.35,8.32
2022,1,2,16,8.1,0.0,96.35,9.69
2022,1,2,17,0.0,0.0,96.36,10.23
2022,1,2,18,0.0,0.0,96.39,10.62
2022,1,2,19,0.0,0.0,96.41,10.79
2022,1,2,20,0.0,0.0,96.43,10.22
2022,1,2,21,0.0,0.0,96.44,10.13
2022,1,2,22,0.0,0.0,96.42,10.18
2022,1,2,23,0.0,0.0,96.39,9.71
2022,1,3,0,0.0,0.01,96.36,9.55
2022,1,3,1,0.0,0.03,96.34,9.32
2022,1,3,2,0.0,0.06,96.32,9.56
2022,1,3,3,0.0,0.09,96.29,11.14
2022,1,3,4,0.0,0.16,96.26,11.81
2022,1,3,5,0.0,0.24,96.24,12.25
2022,1,3,6,0.0,0.16,96.26,13.01
2022,1,3,7,0.0,0.1,96.3,12.72
2022,1,3,8,13.02,0.06,96.34,11.69
2022,1,3,9,53.88,0.05,96.35,10.56
2022,1,3,10,92.85,0.06,96.35,9.75
2022,1,3,11,112.63,0.07,96.31,9.35
2022,1,3,12,107.81,0.08,96.24,10.17
2022,1,3,13,105.03,0.06,96.15,10.44
2022,1,3,14,92.02,0.04,96.09,10.07
2022,1,3,15,43.83,0.06,96.06,10.15
2022,1,3,16,7.4,0.09,96.03,10.42
2022,1,3,17,0.0,0.12,95.98,10.89
2022,1,3,18,0.0,0.16,95.94,11.2
2022,1,3,19,0.0,0.1,95.9,10.8
2022,1,3,20,0.0,0.13,95.84,10.28
2022,1,3,21,0.0,0.13,95.79,9.7
2022,1,3,22,0.0,0.13,95.72,8.93
2022,1,3,23,0.0,0.25,95.62,8.23
2022,1,4,0,0.0,0.46,95.51,7.91
2022,1,4,1,0.0,0.53,95.42,7.96
2022,1,4,2,0.0,0.48,95.32,8.28
2022,1,4,3,0.0,0.48,95.22,9.09
2022,1,4,4,0.0,0.58,95.13,8.82
2022,1,4,5,0.0,0.82,95.04,8.33
2022,1,4,6,0.0,0.95,94.95,8.29
2022,1,4,7,0.0,1.01,94.85,8.49
2022,1,4,8,14.05,1.08,94.74,9.41
2022,1,4,9,49.87,0.66,94.66,10.67
2022,1,4,10,62.11,0.25,94.58,13.28
2022,1,4,11,95.17,0.33,94.49,13.42
2022,1,4,12,125.99,0.33,94.41,14.24
2022,1,4,13,132.66,0.47,94.35,13.81
2022,1,4,14,62.55,0.92,94.28,13.08
2022,1,4,15,21.91,0.37,94.31,14.54
2022,1,4,16,6.89,0.1,94.37,13.83
2022,1,4,17,0.0,0.1,94.43,11.39
2022,1,4,18,0.0,0.14,94.48,8.62
2022,1,4,19,0.0,0.21,94.53,6.59
2022,1,4,20,0.0,0.32,94.58,5.2
2022,1,4,21,0.0,0.65,94.62,4.09
2022,1,4,22,0.0,0.91,94.67,2.97
2022,1,4,23,0.0,0.99,94.71,2.5
2022,1,5,0,0.0,0.83,94.74,3.09
2022,1,5,1,0.0,0.75,94.74,4.11
2022,1,5,2,0.0,0.61,94.76,5.22
2022,1,5,3,0.0,0.69,94.77,6.24
2022,1,5,4,0.0,0.4,94.75,6.93
2022,1,5,5,0.0,0.23,94.74,7.51
2022,1,5,6,0.0,0.19,94.76,7.79
2022,1,5,7,0.0,0.25,94.79,8.6
2022,1,5,8,9.98,0.24,94.88,10.1
2022,1,5,9,46.48,0.14,95.02,11.22
2022,1,5,10,82.59,0.05,95.17,10.76
2022,1,5,11,150.48,0.01,95.28,10.12
2022,1,5,12,178.55,0.0,95.32,10.31
